序号,辖区,零售药店代码（国家）,零售药店名称,地址,X,Y
5017,宝安区,P44030606367,深圳市健鹏药业有限公司潭头二分店,深圳市宝安区松岗街道潭头社区西路94号,,
5018,龙岗区,P44030706358,深圳市新一德药房连锁有限公司坂田伟业分店,深圳市龙岗区坂田街道雪象花园新村道北一巷 10 号 1 楼 101,,
5019,龙华区,P44030902404,深圳市新一德药房连锁有限公司龙华分店,深圳市龙华区龙华街道龙园社区梅苑新村1栋集市路17号,,
5020,龙岗区,P44030706268,深圳市新一德药房连锁有限公司上木古分店,深圳市龙岗区平湖街道上木古社区彩姿南路46.48号101,,
5021,坪山区,P44031006359,深圳市新一德药房连锁有限公司光祖分店,广东省深圳市坪山区坑梓街道秀新社区光祖北路 43-1,,
5022,龙岗区,P44030704432,深圳市新一德药房连锁有限公司南联恒晖分店,广东省深圳市龙岗区龙岗街道南联社区龙城大道15号1楼104,,
5023,龙岗区,P44030706269,深圳市新一德药房连锁有限公司西坑分店,深圳市龙岗区园山街道西坑社区凤凰路18号102,,
5024,南山区,P44030506102,深圳市海怡湾国大药房,深圳市南山区蛇口街道深圳湾社区岸湾六街6号鸿威海怡湾畔花园B-123,,
5025,光明区,P44031106308,深圳市社康医药有限公司康仁分店,深圳市光明区玉塘街道长圳社区东五巷3号1楼,,
5026,宝安区,P44030606299,深圳市润泽堂药业连锁有限公司福海二分店,深圳市宝安区福永街道福永社区福海科技工业园 14-5 号铺,,
5027,宝安区,P44030606376,深圳市世华堂大药房有限公司宝禧分店,深圳市宝安区新桥街道新桥社区新锐路1号嘉富宝禧4栋153,,
5028,光明区,P44031106364,深圳市悦依汇智慧大药房有限公司,深圳市光明区马田街道将围社区公明医院旁2排1栋101-102,,
5029,龙华区,P44030906320,深圳市龙新国药房有限公司瓦窑排分店,深圳市龙华区龙华街道富康社区瓦窑排村二巷5-1号,,
5030,龙岗区,P44030706395,深圳市金康佰泰大药房有限公司康达尔分店,深圳市龙岗区布吉街道茂业社区龙岗大道康达尔花园体育馆103,,
5031,龙华区,P44030906354,深圳市保民安大药房有限公司翠澜店,深圳市龙华区观澜街道新澜社区翠澜新村一巷14号101,,
5032,宝安区,P44030606315,深圳市立丰大药房有限公司西乡八分店,广东省深圳市宝安区西乡街道渔业社区轻铁西八巷 1号103,,
5033,龙华区,P44030906414,深圳市易购药健康药房有限公司,深圳市龙华区民治街道龙塘社区中海锦城3栋340,,
5034,龙岗区,P44030706158,广东源善堂健康药房有限公司,深圳市龙岗区园山街道大康社区安兴路94号A栋105,,
5035,罗湖区,P44030306390,深圳市凤凰国大药房,广东省深圳市罗湖区黄贝街道凤凰社区华丽路1002号丽斯大厦一层10号A,,
5036,宝安区,P44030605336,深圳市康顺堂医药有限公司,深圳市宝安区石岩街道龙腾社区石环路135号102,,
5037,龙岗区,P44030706294,深圳市桐济堂医药有限公司中森双子座分店,深圳市龙岗区龙城街道爱联社区沙园路与黄阁路交汇处中森双子座公馆2栋B座119,,
5038,龙岗区,P44030706240,深圳市海王星辰健康药房连锁有限公司黄金南路健康药房,广东省深圳市龙岗区南湾街道南岭村社区黄金南路一巷 8 号- 101,,
5039,宝安区,P44030606145,深圳市海王星辰健康药房连锁有限公司芙景豪庭健康药房,广东省深圳市宝安区新桥街道新桥社区洋下大道98号芙景豪庭洋下大道 98-9,,
5040,龙华区,P44030906244,深圳市海王星辰健康药房连锁有限公司塘水围健康药房,广东省深圳市龙华区民治街道民强社区塘水围新村三区 2-3 栋 104,,
5041,坪山区,P44031006194,深圳市海王星辰健康药房连锁有限公司坪山六联健康药房,深圳市坪山区坪山街道六联社区深汕路(坪山段)168-27、168-28号铺,,
